Administrative_Area,Cuisine,Number of restaurants
LIMERICK CITY AND COUNTY,Spanish,0
LIMERICK CITY AND COUNTY,Sri Lankan,0
LIMERICK CITY AND COUNTY,Swiss,0
LIMERICK CITY AND COUNTY,Turkish,3
LIMERICK CITY AND COUNTY,Ukranian,0
GALWAY COUNTY,Afghan,0
GALWAY COUNTY,African,0
GALWAY COUNTY,American,1
GALWAY COUNTY,Burmese,0
GALWAY COUNTY,Cambodian,0
GALWAY COUNTY,Chinese,2
GALWAY COUNTY,Filipino,0
GALWAY COUNTY,Himalayan,0
GALWAY COUNTY,Indonesian,0
GALWAY COUNTY,Japanese,0
GALWAY COUNTY,Korean,0
GALWAY COUNTY,Malay,0
GALWAY COUNTY,Mongolian,0
GALWAY COUNTY,Thai,0
GALWAY COUNTY,Tibetan,0
GALWAY COUNTY,Vietnamese,0
GALWAY COUNTY,Australian,0
GALWAY COUNTY,Austrian,0
GALWAY COUNTY,Bangladeshi,0
GALWAY COUNTY,Belgian,0
GALWAY COUNTY,Caribbean,0
GALWAY COUNTY,Caucasian,0
GALWAY COUNTY,Czech,0
GALWAY COUNTY,Dutch,0
GALWAY COUNTY,Belarusian,0
GALWAY COUNTY,Bosnian,0
GALWAY COUNTY,Bulgarian,0
GALWAY COUNTY,Romanian,0
GALWAY COUNTY,Tatar,0
GALWAY COUNTY,English,0
GALWAY COUNTY,French,0
GALWAY COUNTY,German,0
GALWAY COUNTY,Greek,0
GALWAY COUNTY,Hawaiian,0
GALWAY COUNTY,Hungarian,0
GALWAY COUNTY,Indian,1
GALWAY COUNTY,Italian,2
GALWAY COUNTY,Salvadoran,0
GALWAY COUNTY,Argentinian,0
GALWAY COUNTY,Brazilian,0
GALWAY COUNTY,Colombian,0
GALWAY COUNTY,Peruvian,0
GALWAY COUNTY,Venezuelan,0
GALWAY COUNTY,Moroccan,0
GALWAY COUNTY,Mexican,0
GALWAY COUNTY,Egyptian,0
GALWAY COUNTY,Iraqi,0
GALWAY COUNTY,Israeli,0
GALWAY COUNTY,Kurdish,0
GALWAY COUNTY,Lebanese,0
GALWAY COUNTY,Persian,0
GALWAY COUNTY,Syrian,0
GALWAY COUNTY,Yemeni,0
GALWAY COUNTY,Pakistani,0
GALWAY COUNTY,Polish,0
GALWAY COUNTY,Portuguese,0
GALWAY COUNTY,Russian,0
GALWAY COUNTY,Scandinavian,0
GALWAY COUNTY,Scottish,0
GALWAY COUNTY,Slovak,0
GALWAY COUNTY,Spanish,0
GALWAY COUNTY,Sri Lankan,0
GALWAY COUNTY,Swiss,0
GALWAY COUNTY,Turkish,0
GALWAY COUNTY,Ukranian,0
TIPPERARY,Afghan,0
TIPPERARY,African,0
TIPPERARY,American,0
TIPPERARY,Burmese,0
TIPPERARY,Cambodian,0
TIPPERARY,Chinese,6
TIPPERARY,Filipino,0
TIPPERARY,Himalayan,0
TIPPERARY,Indonesian,0
TIPPERARY,Japanese,0
TIPPERARY,Korean,0
TIPPERARY,Malay,0
TIPPERARY,Mongolian,0
TIPPERARY,Thai,2
TIPPERARY,Tibetan,0
TIPPERARY,Vietnamese,0
TIPPERARY,Australian,0
TIPPERARY,Austrian,0
TIPPERARY,Bangladeshi,0
TIPPERARY,Belgian,0
TIPPERARY,Caribbean,0
TIPPERARY,Caucasian,0
TIPPERARY,Czech,0
TIPPERARY,Dutch,0
TIPPERARY,Belarusian,0
TIPPERARY,Bosnian,0
TIPPERARY,Bulgarian,0
TIPPERARY,Romanian,0
TIPPERARY,Tatar,0
TIPPERARY,English,0
TIPPERARY,French,1
TIPPERARY,German,0
TIPPERARY,Greek,0
TIPPERARY,Hawaiian,0
TIPPERARY,Hungarian,0
TIPPERARY,Indian,4
TIPPERARY,Italian,2
TIPPERARY,Salvadoran,0
TIPPERARY,Argentinian,0
TIPPERARY,Brazilian,0
TIPPERARY,Colombian,0
TIPPERARY,Peruvian,0
TIPPERARY,Venezuelan,0
TIPPERARY,Moroccan,0
TIPPERARY,Mexican,0
TIPPERARY,Egyptian,0
TIPPERARY,Iraqi,0
TIPPERARY,Israeli,0
TIPPERARY,Kurdish,0
TIPPERARY,Lebanese,0
TIPPERARY,Persian,0
TIPPERARY,Syrian,0
TIPPERARY,Yemeni,0
TIPPERARY,Pakistani,0
TIPPERARY,Polish,0
TIPPERARY,Portuguese,1
TIPPERARY,Russian,0
TIPPERARY,Scandinavian,0
TIPPERARY,Scottish,0
TIPPERARY,Slovak,0
TIPPERARY,Spanish,0
TIPPERARY,Sri Lankan,0
TIPPERARY,Swiss,0
TIPPERARY,Turkish,0
TIPPERARY,Ukranian,0
