Administrative_Area,Cuisine,Restaurant_id,Restaurant_Name,Restaurant_Lat,Restaurant_Lon
DUBLIN CITY,Chinese,4cd3013f08f48cfab6af9d85,Wok and Go,53.34978280384916,-6.258366107940674
DUBLIN CITY,Chinese,4c0ac702009a0f47df0beabf,Full House,53.348191,-6.26181
DUBLIN CITY,Chinese,5c2f6211dee770002c7ea8e4,Bowls by Kwanghi Chan,53.353279,-6.259434
DUBLIN CITY,Chinese,5d5447ff29e8f7000851aa56,Bullet Duck And Dumplings,53.348356,-6.269347
DUBLIN CITY,Chinese,4b3fe8c8f964a520d8b125e3,Charlies 3,53.34371872231029,-6.26461255512055
DUBLIN CITY,Chinese,507c5531e4b04505d1fec1b7,Mak At D6,53.325117103611305,-6.255344134954406
DUBLIN CITY,Chinese,4c500b94371520a114c3a3c0,Kungfu Buffet,53.36138017793971,-6.2726698491588015
DUBLIN CITY,Chinese,4c77f7e3a8683704e79f0b4d,New Empire,53.327109,-6.264885
DUBLIN CITY,Chinese,4b163458f964a52086b723e3,Roasted Bean Coffee Company,53.35134793741431,-6.250468032819193
DUBLIN CITY,Chinese,4e0fb74062843e04afb84613,Canton City,53.351202180844425,-6.282842186107689
DUBLIN CITY,Chinese,4bc75d7914d79521d93d67e9,Good View Chinese Take Away,53.34184779114961,-6.22775481560248
DUBLIN CITY,Chinese,57af66c1498eeb5b2e30031c,Lin's Palace,53.34174,-6.227488
DUBLIN CITY,Chinese,5152ef04e4b0f4bcdd5f8a04,China Castle,53.34812780618477,-6.262174880261266
DUBLIN CITY,Chinese,4be307891dd22d7fee8295bd,Canton House,53.339733093605574,-6.223431378597962
DUBLIN CITY,Chinese,4dbdb3f6cda109aa6cb9a3e7,China Kitchen Takeaway,53.376965780540516,-6.223372887914081
DUBLIN CITY,Chinese,4c1a68d5eac020a13e3943c2,Mars,53.332205656923705,-6.264610290527344
DUBLIN CITY,Chinese,51d86e5a498e62a2f8f9c5ac,Golden Palace,53.38102112360553,-6.245890147039113
DUBLIN CITY,Chinese,522f5f51498ea45ad6a78e8b,10 Thousand,53.35142039601234,-6.261030039746978
DUBLIN CITY,Chinese,570bdb4dcd1027f1f262a7ff,Gourmet Kitchen,53.381693976281845,-6.241286002251889
DUBLIN CITY,Chinese,5155bacce4b03b3c9f9a2916,Chop Chop,53.33263,-6.275198
DUBLIN CITY,Chinese,4ee3cc74722ea7b944919ecf,New Emperor,53.3753159585952,-6.21840419479805
DUBLIN CITY,Chinese,4c3b4d30def90f4785b5fd2d,Full House Oriental Take Away,53.33255589008331,-6.275355219841003
DUBLIN CITY,Chinese,4bafce85f964a52050223ce3,Starry Night,53.342804220596776,-6.241345607319616
DUBLIN CITY,Chinese,4b12d159f964a520b48e23e3,Charlies Four,53.34352214987298,-6.26443487130978
DUBLIN CITY,Chinese,4f0884b1e4b026656e4a19b1,Emerald Court,53.32600108868111,-6.255703720916797
DUBLIN CITY,Chinese,4b6f2363f964a5209fdf2ce3,Aberdeen Chinese Take Away,53.38592425275209,-6.266296119469272
DUBLIN CITY,Chinese,4cb8c915a33bb1f742cb83fd,Bamboo,53.32188571738666,-6.2529809
DUBLIN CITY,Chinese,4bc0db0b2a89ef3bae4af188,San Sans,53.3885979228842,-6.245654237615329
DUBLIN CITY,Chinese,54de14f2498eb547d6348463,Rialto Malaysian Chinese Takeaway,53.33594989436363,-6.297903704182995
DUBLIN CITY,Chinese,4d001be5ffcea143ce622b91,Rose Garden,53.33674156183367,-6.29892110824585
DUBLIN CITY,Chinese,4efe183761af974bcc5c06ac,New Land Chinese Takeaway,53.34080296562282,-6.307439804077148
